product_link,product_name,brand,Price,rating,review_count,Refresh_Rate,Contrast_Ratio,Response_Time,Synchronization_Technology,Panel_Type,Curved_Screen,Brightness,Screen_Size,HDR,Smart_Display,Touch_Screen,Quantum_Dot_Technology,Headphone_Jack,Voice_Assistant,Wall_Mountable,Anti_Glare,Speaker,Webcam,Weight,Resolution,Total_Pixels
https://www.bestbuy.com/site/aoc-21-5-led-fhd-monitor-hdmi-vga-black/6395861.p?skuId=6395861,"AOC - 21.5"" LED FHD Monitor (HDMI, VGA) - Black",AOC,139.99,4.6,17.0,60.0,20000000.0,2.0,Not Applicable,TN,No,250.0,21.5,No,No,No,No,Yes,No,Yes,No,No,No,5.8,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-34-taa-compliant-curved-monitor-hdmi/6417384.p?skuId=6417384,"Samsung - 34"" TAA-Compliant Curved Monitor (HDMI)",Samsung,599.99,4.3,8.0,100.0,3000.0,4.0,Not Applicable,Not Applicable,Yes,250.0,34.0,No,No,No,No,No,No,Yes,No,Yes,No,17.4,3440 x 1440,4953600
https://www.bestbuy.com/site/gigabyte-27-led-curved-qhd-freesync-monitor-with-hdr-hdmi-displayport-usb-black/6462630.p?skuId=6462630,"GIGABYTE - 27"" LED Curved QHD FreeSync Monitor with HDR (HDMI, DisplayPort, USB) - Black",GIGABYTE,289.99,4.4,47.0,165.0,3000.0,1.0,VSync,VA,Yes,250.0,27.0,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,14.0,2560 x 1440,3686400
https://www.bestbuy.com/site/hp-28-ips-led-4k-uhd-monitor-with-hdr-hdmi-displayport-silver-black/6440343.p?skuId=6440343,"HP - 28"" IPS LED 4K UHD Monitor with HDR (HDMI, DisplayPort) - Silver & Black",HP,349.99,4.1,30.0,60.0,10000000.0,4.0,Not Applicable,IPS,No,400.0,28.0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,14.0,3840 x 2160,8294400
https://www.bestbuy.com/site/asus-zenscreen-15-6-ips-led-fhd-usb-type-c-portable-monitor-with-foldable-smart-case-dark-gray/6500270.p?skuId=6500270,ASUS - ZenScreen 15.6” IPS LED FHD USB Type-C Portable Monitor with Foldable Smart Case - Dark Gray,ASUS,229.99,5.0,1.0,60.0,800.0,5.0,Not Applicable,IPS,No,250.0,15.6,No,No,No,No,No,No,No,Yes,No,No,1.57,1920 x 1080,2073600
https://www.bestbuy.com/site/lenovo-thinkvision-s24e-20-23-8-led-monitor-hdmi-vga-black/6466024.p?skuId=6466024,"Lenovo - ThinkVision S24e-20 23.8"" LED Monitor (HDMI, VGA) - Black",Lenovo,156.99,5.0,1.0,60.0,3000.0,4.0,FreeSync,VA,No,250.0,23.8,No,No,No,No,No,No,No,No,No,No,8.42,1920 x 1080,2073600
https://www.bestbuy.com/site/hp--23-8-fhd-monitor-black-hdmi-vga-black/6437558.p?skuId=6437558,"HP -  23.8"" FHD Monitor - Black (HDMI, VGA) - Black",HP,169.99,4.7,20.0,60.0,1000.0,5.0,Not Applicable,Not Applicable,No,250.0,23.8,No,No,No,No,No,No,No,Yes,No,No,7.62,1920 x 1080,2073600
https://www.bestbuy.com/site/dell-e2220h-22-lcd-widescreen-monitor-vga-display-port-black/6405615.p?skuId=6405615,"Dell - E2220H 22"" LCD Widescreen Monitor (VGA, Display Port) - Black",Dell,159.99,5.0,1.0,60.0,1000.0,5.0,VSync,TN,No,250.0,21.5,No,No,No,No,No,No,Yes,No,No,No,5.95,1920 x 1080,2073600
https://www.bestbuy.com/site/asus-tuf-28-4k-ips-freesync-gaming-monitor-with-hdr-displayporthdmi/6450751.p?skuId=6450751,"ASUS - TUF 28"" 4K IPS FreeSync Gaming Monitor with HDR (DisplayPort,HDMI)",ASUS,349.99,4.6,58.0,60.0,100000000.0,5.0,Not Applicable,Not Applicable,No,350.0,28.0,No,No,No,No,No,No,No,No,No,No,16.76,3840 x 2160,8294400
https://www.bestbuy.com/site/philips-e-line-322e1c-32-led-curved-fhd-freesync-monitor-displayport-hdmi-vga-black/6419934.p?skuId=6419934,"Philips - E-Line 322E1C 32"" LED Curved FHD FreeSync Monitor (DisplayPort, HDMI, VGA) - Black",Philips,229.99,4.6,24.0,75.0,3000.0,4.0,FreeSync,VA,Yes,250.0,31.5,No,No,No,No,Yes,No,Yes,Yes,No,No,15.62,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-odyssey-g3-32-curved-fhd-1ms-amd-freesync-premium-gaming-monitor-black-black/6486408.p?skuId=6486408,"Samsung - Odyssey G3 32"" Curved FHD 1ms AMD FreeSync Premium Gaming Monitor - Black - Black",Samsung,329.99,5.0,4.0,165.0,3000.0,5.0,FreeSync,VA,Yes,300.0,32.0,No,No,No,No,Yes,No,Yes,No,No,No,11.5,1920 x 1080,2073600
https://www.bestbuy.com/site/samsung-24-ft45-series-business-monitor-black/6430861.p?skuId=6430861,"Samsung - 24"" FT45 Series Business Monitor - Black",Samsung,236.99,4.1,7.0,75.0,1000.0,5.0,Not Applicable,IPS,No,250.0,24.0,No,No,No,No,No,No,Yes,No,No,No,5.7,1920 x 1080,2073600
